Subject AB101128, 28-Nov-2010 19:13:51, Gabor Tilt = 4
trial	 cue	 validity	 targLoc	 tilt	 cueLoc	 contrast	 postCueLoc	 resp	 correct	 RT

 Start Time = 28-Nov-2010 19:16:28
    244,    Dot,      Valid,        targNE,       L,      cueNE,           0.18005,           pcNE,           R,        0,   0.4656
    245,    Dot,      Valid,        targSW,       L,      cueSW,           0.25206,           pcSW,           L,        1,   0.2746
    246,    Dot,      Inval,        targSW,       L,      cueSE,           0.09186,           pcSW,           L,        1,   0.5064
    247,    Dot,      Valid,        targSE,       L,      cueSE,           0.25206,           pcSE,           L,        1,   0.3389
    248,    Dot,      Valid,        targNW,       L,      cueNW,           0.96833,           pcNW,           L,        1,   0.4331
    249,    Dot,      Inval,        targSW,       R,      cueSE,           0.09186,           pcSW,           R,        1,   0.3452
    250,    Dot,      Valid,        targSE,       R,      cueSE,           0.1286,           pcSE,           R,        1,   0.4182
    251,    Dot,      Inval,        targNW,       R,      cueNE,           0.046868,           pcNW,           L,        0,   0.3856
    252,    Dot,      Distr,        targSE,       R,      cueDI,           0.18005,           pcSE,           R,        1,   0.3936
    253,    Dot,      Valid,        targNW,       L,      cueNW,           0.49405,           pcNW,           L,        1,   0.4660
    254,    Dot,      Inval,        targSW,       L,      cueNE,           0.49405,           pcSW,           L,        1,   0.5709
    255,    Dot,      Valid,        targNW,       R,      cueNW,           0.18005,           pcNW,           R,        1,   0.5379
    256,    Dot,      Inval,        targSE,       L,      cueSW,           0.0122,           pcSE,           L,        1,   0.3780
    257,    Dot,      Distr,        targSW,       L,      cueDI,           0.49405,           pcSW,           L,        1,   0.4348
    258,    Dot,      Inval,        targNW,       R,      cueSW,           0.35289,           pcNW,           R,        1,   0.5778
    259,    Dot,      Valid,        targNE,       R,      cueNE,           0.046868,           pcNE,           R,        1,   0.4833
    260,    Dot,      Valid,        targSE,       R,      cueSE,           0.033477,           pcSE,           L,        0,   0.3296
